algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,W-accuracy,H-accuracy,B-accuracy,Race-accuracy,H-accuracy_over_W-accuracy,B-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoH-accuracy,diff:W-accuracytoB-accuracy,Race-accuracyDiff,W-TPR,H-TPR,B-TPR,Race-TPR,H-TPR_over_W-TPR,B-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoH-TPR,diff:W-TPRtoB-TPR,Race-TPRDiff,W-TNR,H-TNR,B-TNR,Race-TNR,H-TNR_over_W-TNR,B-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoH-TNR,diff:W-TNRtoB-TNR,Race-TNRDiff,W-FPR,H-FPR,B-FPR,Race-FPR,H-FPR_over_W-FPR,B-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoH-FPR,diff:W-FPRtoB-FPR,Race-FPRDiff,W-FNR,H-FNR,B-FNR,Race-FNR,H-FNR_over_W-FNR,B-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoH-FNR,diff:W-FNRtoB-FNR,Race-FNRDiff,W-calibration+,H-calibration+,B-calibration+,Race-calibration+,H-calibration+_over_W-calibration+,B-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toH-calibration+,diff:W-calibration+toB-calibration+,Race-calibration+Diff,W-calibration-,H-calibration-,B-calibration-,Race-calibration-,H-calibration-_over_W-calibration-,B-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toH-calibration-,diff:W-calibration-toB-calibration-,Race-calibration-Diff
DecisionTree,,4,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.7333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,,5,0.9629629629629629,1.0,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.5,0.5,0.6666666666666667,0.9333333333333333,1.0,1.0,0.9777777777777779,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.9444444444444445,1.2,1.2,1.2,1.1666666666666665,1.1666666666666665,1.1666666666666665,0.16666666666666663,0.0,0.0,0.055555555555555546,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9666666666666667,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1,1.1,1.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,,6,0.9259259259259259,1.0,0.8571428571428571,0.9285714285714286,0.8618916073713346,0.45454545454545453,0.45454545454545453,0.6000000000000001,0.8666666666666667,1.0,1.0,0.9555555555555556,1.1538461538461537,1.1538461538461537,1.1538461538461537,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.8888888888888888,1.5,1.5,1.5,1.3333333333333335,1.3333333333333335,1.3333333333333335,0.33333333333333337,0.0,0.0,0.11111111111111112,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,1.0,0.9393939393939394,1.222222222222222,1.222222222222222,1.222222222222222,1.1818181818181817,1.1818181818181817,1.1818181818181817,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,,7,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.7333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,,8,0.9629629629629629,0.9230769230769231,1.0,0.9615384615384616,0.9281909617845143,0.625,0.625,0.8,0.9333333333333333,1.0,1.0,0.9777777777777779,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.8888888888888888,1.0,1.0,0.9629629629629629,1.125,1.125,1.125,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11111111111111116,0.0,0.0,0.037037037037037056,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.0,1.0,0.8571428571428572,0.8571428571428572,0.8571428571428572
DecisionTree,,9,0.9629629629629629,1.0,0.9285714285714286,0.9642857142857143,0.9285714285714286,0.5,0.5,0.6666666666666667,0.9333333333333333,1.0,1.0,0.9777777777777779,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.9444444444444445,1.2,1.2,1.2,1.1666666666666665,1.1666666666666665,1.1666666666666665,0.16666666666666663,0.0,0.0,0.055555555555555546,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9666666666666667,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1,1.1,1.1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,0,0.8148148148148148,0.7692307692307693,0.8571428571428571,0.8131868131868132,0.6298438669252061,0.8928571428571429,0.8928571428571428,0.95,0.7333333333333333,1.0,0.8333333333333334,0.8555555555555556,1.3636363636363638,1.1363636363636365,1.25,1.2666666666666666,1.1,1.1833333333333333,0.6666666666666666,1.0,1.0,0.8888888888888888,1.5,1.5,1.5,1.3333333333333335,1.3333333333333335,1.3333333333333335,0.8333333333333334,1.0,0.75,0.8611111111111112,1.2,0.8999999999999999,1.0499999999999998,1.1666666666666665,0.9166666666666666,1.0416666666666665,0.16666666666666663,0.0,0.25,0.13888888888888887,0.0,1.5000000000000004,0.7500000000000002,0.8333333333333334,1.0833333333333335,0.9583333333333335,0.33333333333333337,0.0,0.0,0.11111111111111112,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.0,0.6666666666666666,0.8412698412698413,1.1666666666666667,0.7777777777777778,0.9722222222222223,1.1428571428571428,0.8095238095238095,0.9761904761904762,0.375,0.0,0.0,0.125,0.0,0.0,1.0,0.625,0.625,0.625
Feldman-SVM,lambda=1.0,1,0.7037037037037037,0.38461538461538464,1.0,0.6923076923076923,0.4947274449181537,0.8333333333333333,0.8333333333333333,0.9666666666666667,0.6,0.8333333333333334,0.8333333333333334,0.7555555555555555,1.388888888888889,1.388888888888889,1.388888888888889,1.2333333333333334,1.2333333333333334,1.2333333333333334,0.3333333333333333,0.5,0.5,0.4444444444444444,1.5,1.5,1.5,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.5,0.5,0.5555555555555556,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.8333333333333333,0.8333333333333333,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.2,0.3,0.4,0.4,0.4,0.7,0.7,0.7
Feldman-SVM,lambda=1.0,2,0.7037037037037037,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.4065934065934066,0.78125,0.78125,0.8833333333333333,0.8,0.5,0.6666666666666666,0.6555555555555556,0.625,0.8333333333333333,0.7291666666666666,0.7,0.8666666666666666,0.7833333333333332,0.7777777777777778,0.5,0.5,0.5925925925925926,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.8333333333333334,0.5,0.75,0.6944444444444445,0.6,0.8999999999999999,0.75,0.6666666666666666,0.9166666666666666,0.7916666666666666,0.16666666666666663,0.5,0.25,0.3055555555555555,3.000000000000001,1.5000000000000004,2.250000000000001,1.3333333333333335,1.0833333333333335,1.2083333333333335,0.2222222222222222,0.5,0.5,0.40740740740740744,2.25,2.25,2.25,1.2777777777777777,1.2777777777777777,1.2777777777777777,0.875,0.3333333333333333,0.5,0.5694444444444444,0.38095238095238093,0.5714285714285714,0.47619047619047616,0.45833333333333326,0.625,0.5416666666666666,0.2857142857142857,0.3333333333333333,0.25,0.2896825396825397,1.1666666666666667,0.875,1.0208333333333335,1.0476190476190477,0.9642857142857143,1.005952380952381
Feldman-SVM,lambda=1.0,3,0.6296296296296297,0.9230769230769231,0.35714285714285715,0.6401098901098902,0.3367822619938891,0.9375,0.9375,0.95,0.6666666666666666,0.6666666666666666,0.5,0.611111111111111,1.0,0.75,0.875,1.0,0.8333333333333334,0.9166666666666667,0.8888888888888888,1.0,1.0,0.9629629629629629,1.125,1.125,1.125,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.3333333333333333,0.5,0.25,0.3611111111111111,1.5,0.75,1.125,1.1666666666666667,0.9166666666666667,1.0416666666666667,0.6666666666666667,0.5,0.75,0.638888888888889,0.7499999999999999,1.1249999999999998,0.9374999999999998,0.8333333333333333,1.0833333333333333,0.9583333333333333,0.11111111111111116,0.0,0.0,0.037037037037037056,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.5,0.4,0.5222222222222221,0.75,0.6000000000000001,0.675,0.8333333333333334,0.7333333333333334,0.7833333333333334,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
Feldman-SVM,lambda=1.0,4,0.6666666666666666,0.3076923076923077,1.0,0.6538461538461539,0.4327712674146304,3.75,3.75,1.1833333333333333,0.4666666666666667,1.0,0.8333333333333334,0.7666666666666667,2.142857142857143,1.7857142857142858,1.9642857142857144,1.5333333333333332,1.3666666666666667,1.45,0.1111111111111111,1.0,0.5,0.5370370370370371,9.0,4.5,6.75,1.8888888888888888,1.3888888888888888,1.6388888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.0,0.5,0.46296296296296297,0.0,0.5625,0.28125,0.11111111111111116,0.6111111111111112,0.36111111111111116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.0,0.2,0.2571428571428571,0.0,0.35000000000000003,0.17500000000000002,0.4285714285714286,0.6285714285714286,0.5285714285714286
Feldman-SVM,lambda=1.0,5,0.7037037037037037,0.8461538461538461,0.5714285714285714,0.7087912087912087,0.4320693281534378,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6888888888888888,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7777777777777778,1.0,1.0,0.9259259259259259,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2222222222222223,1.2222222222222223,1.2222222222222223,0.6666666666666666,0.5,0.5,0.5555555555555555,0.75,0.75,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.33333333333333337,0.5,0.5,0.4444444444444445,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.1666666666666665,1.1666666666666665,1.1666666666666665,0.2222222222222222,0.0,0.0,0.07407407407407407,0.0,0.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.5,0.5925925925925926,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
Feldman-SVM,lambda=1.0,6,0.48148148148148145,0.23076923076923078,0.7142857142857143,0.4725274725274725,-0.06264700137907352,0.5,0.5,0.8333333333333334,0.4666666666666667,0.5,0.5,0.48888888888888893,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0333333333333332,1.0333333333333332,1.0333333333333332,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.75,0.75,0.7222222222222222,1.125,1.125,1.125,1.0833333333333335,1.0833333333333335,1.0833333333333335,0.33333333333333337,0.25,0.25,0.2777777777777778,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666667,1.0,1.0,0.888888888888889,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6,0.0,0.0,0.19999999999999998,0.0,0.0,1.0,0.4,0.4,0.4,0.6,0.4,0.4,0.4666666666666666,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8,0.8,0.8
Feldman-SVM,lambda=1.0,7,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.8159340659340659,0.6318681318681318,0.9375,0.9375,0.9666666666666667,0.8,0.8333333333333334,0.8333333333333334,0.8222222222222223,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0333333333333332,1.0333333333333332,1.0333333333333332,0.7777777777777778,1.0,1.0,0.9259259259259259,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2222222222222223,1.2222222222222223,1.2222222222222223,0.8333333333333334,0.75,0.75,0.7777777777777778,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.16666666666666663,0.25,0.25,0.2222222222222222,1.5000000000000004,1.5000000000000004,1.5000000000000004,1.0833333333333335,1.0833333333333335,1.0833333333333335,0.2222222222222222,0.0,0.0,0.07407407407407407,0.0,0.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.875,0.6666666666666666,0.6666666666666666,0.736111111111111,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.2857142857142857,0.0,0.0,0.09523809523809523,0.0,0.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
